iter	Passed	Remaining
455	937	1117
456	937	1114
457	939	1111
458	940	1108
459	941	1105
460	942	1101
461	943	1098
462	944	1095
463	945	1092
464	946	1089
465	948	1086
466	949	1083
467	950	1080
468	951	1077
469	952	1074
470	953	1071
471	954	1068
472	955	1065
473	957	1062
474	958	1058
475	959	1055
476	960	1052
477	961	1050
478	963	1048
479	965	1045
480	966	1042
481	967	1040
482	969	1037
483	970	1034
484	971	1031
485	972	1028
486	973	1025
487	974	1022
488	977	1021
489	979	1019
490	980	1016
491	981	1013
492	982	1010
493	983	1007
494	984	1004
495	985	1001
496	986	998
497	988	995
498	989	993
499	991	991
500	992	988
501	993	986
502	995	983
503	996	980
504	997	977
505	998	974
506	999	972
507	1001	969
508	1002	966
509	1003	964
510	1005	962
511	1007	960
512	1008	957
513	1009	954
514	1011	952
515	1012	949
516	1013	946
517	1014	944
518	1015	941
519	1016	938
520	1018	936
521	1020	934
522	1021	931
523	1022	928
524	1023	926
525	1024	923
526	1025	920
527	1026	917
528	1028	915
529	1029	912
530	1030	909
531	1031	907
532	1032	904
533	1035	903
534	1036	900
535	1037	898
536	1039	895
537	1040	893
538	1041	890
539	1042	887
540	1043	885
541	1044	882
542	1045	880
543	1047	877
544	1051	877
545	1052	874
546	1053	872
547	1054	869
548	1056	867
549	1057	865
550	1058	862
551	1059	860
552	1060	857
553	1062	855
554	1063	852
555	1064	850
556	1065	847
557	1066	845
558	1067	842
559	1068	839
560	1070	837
561	1071	834
562	1072	832
563	1073	829
564	1074	827
565	1075	824
566	1076	822
567	1078	820
568	1080	818
569	1081	815
570	1082	813
571	1083	811
572	1085	808
573	1086	806
574	1088	804
575	1089	801
576	1090	799
577	1091	796
578	1093	794
579	1094	792
580	1095	790
581	1096	787
582	1097	785
583	1098	782
584	1099	780
585	1100	777
586	1101	775
587	1103	772
588	1104	770
589	1105	768
590	1106	765
591	1108	763
592	1109	761
593	1110	759
594	1111	756
595	1112	754
596	1113	751
597	1114	749
598	1115	746
599	1116	744
600	1117	741
601	1118	739
602	1119	737
603	1121	734
604	1122	733
605	1124	730
606	1125	728
607	1126	725
608	1127	723
609	1127	721
610	1128	718
611	1129	716
612	1130	713
613	1132	711
614	1133	709
615	1134	707
616	1135	704
617	1136	702
618	1137	700
619	1138	697
620	1139	695
621	1140	693
622	1141	690
623	1142	688
624	1143	686
625	1144	683
626	1145	681
627	1146	679
628	1148	677
629	1149	674
630	1149	672
631	1151	670
632	1152	668
633	1153	665
634	1154	663
635	1155	661
636	1156	659
637	1157	656
638	1158	654
639	1159	652
640	1160	650
641	1161	647
642	1162	645
643	1163	643
644	1165	641
645	1166	639
646	1167	637
647	1168	634
648	1169	632
649	1170	630
650	1171	628
651	1172	626
652	1173	623
653	1175	621
654	1176	619
655	1177	617
656	1178	615
657	1179	612
658	1180	610
659	1182	609
660	1183	606
661	1184	604
662	1185	602
663	1186	600
664	1187	598
665	1188	596
666	1189	594
667	1191	591
668	1192	589
669	1193	587
670	1194	585
671	1195	583
672	1197	581
673	1198	579
674	1199	577
675	1200	575
676	1201	573
677	1202	571
678	1203	568
679	1204	566
680	1205	564
681	1206	562
682	1207	560
683	1208	558
684	1209	556
685	1211	554
686	1213	552
687	1214	550
688	1215	548
689	1216	546
690	1217	544
691	1218	542
692	1219	540
693	1220	538
694	1221	536
695	1222	533
696	1223	531
697	1224	529
698	1226	527
699	1227	525
700	1228	523
701	1229	521
702	1230	519
703	1231	517
704	1232	515
705	1233	513
706	1234	511
707	1235	509
708	1236	507
709	1237	505
710	1238	503
711	1239	501
712	1241	499
713	1242	497
714	1243	495
715	1244	493
716	1245	491
717	1246	489
718	1247	487
719	1248	485
720	1249	483
721	1250	481
722	1251	479
723	1252	477
724	1253	475
725	1254	473
726	1255	471
727	1256	469
728	1258	467
729	1258	465
730	1259	463
731	1260	461
732	1261	459
733	1262	457
734	1263	455
735	1265	453
736	1266	451
737	1267	449
738	1268	447
739	1269	446
740	1271	444
741	1272	442
742	1273	440
743	1274	438
744	1275	436
745	1276	434
746	1277	432
747	1278	430
748	1279	428
749	1280	426
750	1281	424
751	1282	422
752	1283	420
753	1284	419
754	1285	417
755	1286	415
756	1288	413
757	1289	411
758	1290	409
759	1291	407
760	1292	406
761	1293	404
762	1294	402
763	1295	400
764	1296	398
765	1297	396
766	1299	394
767	1301	393
768	1302	391
769	1303	389
770	1304	387
771	1304	385
772	1305	383
773	1306	381
774	1307	379
775	1308	377
776	1309	375
777	1310	374
778	1311	372
779	1313	370
780	1314	368
781	1315	366
782	1317	365
783	1318	363
784	1319	361
785	1320	359
786	1321	357
787	1322	355
788	1323	353
789	1324	351
790	1325	350
791	1326	348
792	1327	346
793	1328	344
794	1330	342
795	1331	341
796	1332	339
797	1333	337
798	1334	335
799	1335	333
800	1336	331
801	1337	330
802	1337	328
803	1339	326
804	1340	324
805	1340	322
806	1341	320
807	1343	319
808	1344	317
809	1346	315
810	1347	313
811	1348	312
812	1349	310
813	1350	308
814	1351	306
815	1352	304
816	1353	303
817	1354	301
818	1356	299
819	1357	298
820	1359	296
821	1360	294
822	1361	292
823	1362	291
824	1363	289
825	1364	287
826	1365	285
827	1366	283
828	1368	282
829	1369	280
830	1370	278
831	1371	276
832	1372	275
833	1373	273
834	1374	271
835	1376	269
836	1377	268
837	1378	266
838	1379	264
839	1380	262
840	1381	261
841	1382	259
842	1383	257
843	1384	255
844	1385	254
845	1386	252
846	1387	250
847	1389	249
848	1391	247
849	1392	245
850	1393	243
851	1394	242
852	1395	240
853	1396	238
854	1397	236
855	1398	235
856	1399	233
857	1400	231
858	1401	230
859	1402	228
860	1404	226
861	1405	224
862	1406	223
863	1407	221
864	1408	219
865	1409	218
866	1410	216
867	1411	214
868	1412	212
869	1413	211
870	1414	209
871	1415	207
872	1416	206
873	1418	204
874	1419	202
875	1420	201
876	1421	199
877	1422	197
878	1423	195
879	1424	194
880	1425	192
881	1426	190
882	1427	189
883	1428	187
884	1429	185
885	1430	184
886	1432	182
887	1433	180
888	1435	179
889	1435	177
890	1437	175
891	1438	174
892	1439	172
893	1440	170
894	1441	169
895	1442	167
896	1443	165
897	1444	164
898	1445	162
899	1446	160
900	1447	159
901	1449	157
902	1450	155
903	1451	154
904	1452	152
905	1453	150
906	1454	149
907	1455	147
908	1456	145
909	1457	144
910	1458	142
911	1459	140
912	1460	139
913	1461	137
914	1463	135
915	1464	134
916	1465	132
917	1466	131
918	1467	129
919	1468	127
920	1469	126
921	1470	124
922	1471	122
923	1472	121
924	1474	119
925	1475	117
926	1476	116
927	1477	114
928	1479	113
929	1480	111
930	1481	109
931	1482	108
932	1483	106
933	1484	104
934	1485	103
935	1486	101
936	1487	100
937	1488	98
938	1489	96
939	1490	95
940	1491	93
941	1493	91
942	1494	90
943	1495	88
944	1496	87
945	1497	85
946	1498	83
947	1499	82
948	1500	80
949	1501	79
950	1502	77
951	1503	75
952	1504	74
953	1505	72
954	1507	71
955	1508	69
956	1509	67
957	1510	66
958	1511	64
959	1512	63
960	1513	61
961	1514	59
962	1515	58
963	1516	56
964	1517	55
965	1518	53
966	1519	51
967	1520	50
968	1522	48
969	1523	47
970	1524	45
971	1525	43
972	1526	42
973	1527	40
974	1528	39
975	1529	37
976	1530	36
977	1531	34
978	1532	32
979	1533	31
980	1535	29
981	1536	28
982	1537	26
983	1539	25
984	1540	23
985	1541	21
986	1542	20
987	1543	18
988	1544	17
989	1545	15
990	1546	14
991	1547	12
992	1548	10
993	1549	9
994	1550	7
995	1552	6
996	1553	4
997	1554	3
998	1555	1
999	1556	0
